"","Name","Firm","Price","Volume","Count","unit_price","Year"
"36","硫酸氨基葡萄糖胶囊","信东生技股份有限公司（信东生技股份有限公司）",44.08,"0.25g",24,1.83666666666667,2015
"37","硫酸氨基葡萄糖胶囊","信东生技股份有限公司（信东生技股份有限公司）",75.56,"0.25g",42,1.79904761904762,2015
"38","硫酸氨基葡萄糖胶囊","信东生技股份有限公司（信东生技股份有限公司）",65.13,"0.25g",36,1.80916666666667,2015
"39","盐酸氨基葡萄糖胶囊","澳美制药厂",57.57,"0.75g",30,1.919,2015
"40","盐酸氨基葡萄糖胶囊","山西中远威药业有限公司",36,"0.24g",24,1.5,2015
"41","盐酸氨基葡萄糖胶囊","浙江诚意药业股份有限公司",53,"0.24g",42,1.26190476190476,2015
"42","盐酸氨基葡萄糖胶囊","浙江诚意药业股份有限公司",25.93,"0.24g",20,1.2965,2015
"43","盐酸氨基葡萄糖片","四川新斯顿制药有限责任公司",32.3,"0.24g",28,1.15357142857143,2015
"44","盐酸氨基葡萄糖片","四川新斯顿制药有限责任公司",47.74,"0.24g",42,1.13666666666667,2015
"45","苯磺酸氨氯地平片","Lek Pharmaceuticals d.d（山德士（中国）制药有限公司分装）",6.93,"5mg",7,0.99,2015
"46","苯磺酸氨氯地平片","北京红林制药有限公司",12.92,"5mg",14,0.922857142857143,2015
"47","苯磺酸氨氯地平片","北京红林制药有限公司",19.09,"5mg",21,0.909047619047619,2015
"48","苯磺酸氨氯地平片","北京红林制药有限公司",25.19,"5mg",28,0.899642857142857,2015
"49","苯磺酸氨氯地平片","北京红林制药有限公司",6.63,"5mg",7,0.947142857142857,2015
"50","苯磺酸氨氯地平片","北京益民药业有限公司",8.35,"5mg",14,0.596428571428571,2015
"51","苯磺酸氨氯地平片","辰欣药业股份有限公司",13.57,"5mg",14,0.969285714285714,2015
"52","苯磺酸氨氯地平片","辰欣药业股份有限公司",6.96,"5mg",7,0.994285714285714,2015
"53","苯磺酸氨氯地平片","广州白云山制药股份有限公司广州白云山制药总厂",13.57,"5mg",14,0.969285714285714,2015
"54","苯磺酸氨氯地平片","国药集团容生制药有限公司",8.35,"5mg",14,0.596428571428571,2015
"55","苯磺酸氨氯地平片","湖北恒安药业有限公司",12.98,"5mg",14,0.927142857142857,2015
"56","苯磺酸氨氯地平片","吉林省集安益盛药业股份有限公司",44.17,"5mg",40,1.10425,2015
"57","苯磺酸氨氯地平片","吉林省集安益盛药业股份有限公司",65.22,"5mg",60,1.087,2015
"58","苯磺酸氨氯地平片","江苏黄河药业股份有限公司",4.28,"5mg",7,0.611428571428571,2015
"59","苯磺酸氨氯地平片","江苏黄河药业股份有限公司",8.35,"5mg",14,0.596428571428571,2015
"60","苯磺酸氨氯地平片","江苏康缘药业股份有限公司",4.28,"5mg",7,0.611428571428571,2015
"61","苯磺酸氨氯地平片","江苏亚邦爱普森药业有限公司",8.23,"5mg",7,1.17571428571429,2015
"62","苯磺酸氨氯地平片","江苏亚邦爱普森药业有限公司",11.6,"5mg",10,1.16,2015
"63","苯磺酸氨氯地平片","江苏亚邦爱普森药业有限公司",16.04,"5mg",14,1.14571428571429,2015
"64","苯磺酸氨氯地平片","江苏亚邦爱普森药业有限公司",38.78,"5mg",35,1.108,2015
"65","苯磺酸氨氯地平片","江西汇仁药业有限公司",8.35,"5mg",14,0.596428571428571,2015
"66","苯磺酸氨氯地平片","辽宁康博士制药有限公司",56.7,"5mg",60,0.945,2015
"67","苯磺酸氨氯地平片","宁波大红鹰药业股份有限公司",9.88,"5mg",7,1.41142857142857,2015
"68","苯磺酸氨氯地平片","山东方明药业集团股份有限公司",6.96,"5mg",7,0.994285714285714,2015
"69","苯磺酸氨氯地平片","山东方明药业集团股份有限公司",13.57,"5mg",14,0.969285714285714,2015
"70","苯磺酸氨氯地平片","山东方明药业集团股份有限公司",19.13,"5mg",20,0.9565,2015
"71","苯磺酸氨氯地平片","山东方明药业集团股份有限公司",26.45,"5mg",28,0.944642857142857,2015
"72","苯磺酸氨氯地平片","山东凤凰制药股份有限公司",15.91,"10mg",7,2.27285714285714,2015
"73","苯磺酸氨氯地平片","山东凤凰制药股份有限公司",22.43,"10mg",10,2.243,2015
"74","苯磺酸氨氯地平片","山西康宝生物制品股份有限公司",6.96,"5mg",7,0.994285714285714,2015
"75","苯磺酸氨氯地平片","山西康宝生物制品股份有限公司",13.57,"5mg",14,0.969285714285714,2015
"76","苯磺酸氨氯地平片","上海迪  诺生物医药有限公司",6.81,"2.5mg",14,0.486428571428571,2015
"77","苯磺酸氨氯地平片","上海迪  诺生物医药有限公司",11.58,"5mg",14,0.827142857142857,2015
"78","苯磺酸氨氯地平片","上海迪  诺生物医药有限公司",22.57,"5mg",28,0.806071428571429,2015
"79","苯磺酸氨氯地平片","沈阳管城制药有限责任公司",22.59,"5mg",21,1.07571428571429,2015
"80","苯磺酸氨氯地平片","沈阳管城制药有限责任公司",44.06,"5mg",42,1.04904761904762,2015
"81","苯磺酸氨氯地平片","沈阳圣元药业有限公司",31.75,"5mg",56,0.566964285714286,2015
"82","苯磺酸氨氯地平片","沈阳圣元药业有限公司",16.28,"5mg",28,0.581428571428572,2015
"83","苯磺酸氨氯地平片","苏州东瑞制药有限公司",6.96,"5mg",7,0.994285714285714,2015
