"Firm_ID","Firm","Year"
258,"天津医药集团津康制药有限公司",2018
NA,"CHOSEIDO PHARMACEUTICAL CO.,LTD. KAWAUCHI FACTORY",2018
457,"江苏豪森药业集团有限公司",2018
506,"浙江巨泰药业有限公司",2018
457,"江苏豪森药业集团有限公司",2020
618,"石家庄四药有限公司",2020
NA,"福建古田药业有限公司",2016
354,"康普药业股份有限公司",2016
NA,"长春迪瑞制药有限公司",2016
NA,"乐普药业(北京)有限责任公司",2016
634,"美罗药业股份有限公司",2016
NA,"上海普康药业有限公司",2016
NA,"贝克诺顿(浙江)制药有限公司",2016
NA,"广东南国药业有限公司",2016
115,"中美上海施贵宝制药有限公司",2016
NA,"佛山手心制药有限公司",2016
364,"悦康药业集团股份有限公司",2016
NA,"北京海王中新药业股份有限公司",2016
NA,"广东邦民制药厂有限公司",2016
NA,"广东罗特制药有限公司",2016
NA,"广州白云山光华制药股份有限公司",2016
220,"哈药集团制药总厂",2016
NA,"海南三叶制药厂有限公司",2016
278,"宁波大红鹰药业股份有限公司",2016
310,"山东罗欣药业集团股份有限公司",2016
NA,"上海福达制药有限公司",2016
NA,"沈阳康芝制药有限公司",2016
645,"苏州第三制药厂有限责任公司",2016
NA,"广东香山堂制药有限公司",2016
NA,"汕头经济特区鮀滨制药厂",2016
NA,"湖南康尔佳生物医药科技有限公司",2016
115,"中美上海施贵宝制药有限公司",2017
115,"中美上海施贵宝制药有限公司",2018
91,"上海新亚药业闵行有限公司",2018
313,"山东鲁抗医药股份有限公司",2018
599,"湖南科伦制药有限公司",2018
335,"广东华南药业集团有限公司",2020
313,"山东鲁抗医药股份有限公司",2020
335,"广东华南药业集团有限公司",2022
313,"山东鲁抗医药股份有限公司",2022
310,"山东罗欣药业集团股份有限公司",2022
NA,"Dr. Reddy`s Laboratories Limited",2016
NA,"Lilly del Caribe,Inc.",2016
330,"常州华生制药有限公司",2016
330,"常州华生制药有限公司",2017
200,"印度瑞迪博士实验室有限公司（印度瑞迪博士实验
室有限公司）",2017
NA,"Dr. Reddy`s Laboratories Limited",2017
NA,"Lilly del Caribe,Inc.",2017
NA,"LILLY S.A.",2018
NA,"Dr. Reddy`s Laboratories Limited",2018
NA,"Lilly del Caribe,Inc.",2018
330,"常州华生制药有限公司",2018
457,"江苏豪森药业集团有限公司",2019
16,"Dr.Reddy’sLaboratoriesLimited.（印度瑞迪博士实验室有限公司）",2019
571,"深圳海王药业有限公司",2015
571,"深圳海王药业有限公司",2016
571,"深圳海王药业有限公司",2017
571,"深圳海王药业有限公司",2018
571,"深圳海王药业有限公司",2019
711,"齐鲁制药（海南）有限公司",2021
74,"上海信谊百路达药业有限公司",2017
189,"南京正大天晴制药有限公司",2020
111,"东莞市阳之康医药有限责任公司（广东东阳光药业有限公司受委托生产）",2020
163,"北京福元医药股份有限公司",2020
224,"四川大冢制药有限公司",2015
410,"杭州默沙东制药有限公司",2015
NA,"Merck Sharp & Dohme Limited",2016
224,"四川大冢制药有限公司",2016
38,"Merck Sharp & Dohme Limited（杭州默沙东制药有
限公司分装）",2017
NA,"Merck Sharp & Dohme Limited",2017
224,"四川大冢制药有限公司",2017
88,"上海安必生制药技术有限公司（杭州民生滨江制药有限公司受委托生产）",2018
NA,"杭州民生滨江制药有限公司",2018
NA,"杭州民生滨江制药有限公司;青岛百洋制药有限公司;江苏安必生制药有限公司",2018
NA,"Merck Sharp & Dohme Limited",2018
224,"四川大冢制药有限公司",2018
40,"MerckSharp&DohmeB.V.（MerckSharp&DohmeLtd.）（杭州默沙东制药有限公司分包装）",2019
88,"上海安必生制药技术有限公司（杭州民生滨江制药有限公司受委托生产）",2019
NA,"Merck Sharp & Dohme Limited",2019
NA,"杭州民生滨江制药有限公司",2019
NA,"杭州民生滨江制药有限公司;青岛百洋制药有限公司;江苏安必生制药有限公司",2019
224,"四川大冢制药有限公司",2019
NA,"Merck Sharp & Dohme Limited",2020
224,"四川大冢制药有限公司",2020
NA,"杭州民生滨江制药有限公司",2020
598,"湖南洞庭药业股份有限公司",2015
646,"苏州第壹制药有限公司",2016
NA,"AstraZeneca UK Limited",2016
